
nov 15, 2018 22:29:16.36 [27692:2764:1115/222916.365:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:17.25 [27692:2764:1115/222917.255:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:18.14 [27692:2764:1115/222918.142:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:19.03 [27692:2764:1115/222919.031:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:19.91 [27692:2764:1115/222919.917:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:20.81 [27692:2764:1115/222920.809:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:21.70 [27692:2764:1115/222921.704:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:22.60 [27692:2764:1115/222922.605:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:23.50 [27692:2764:1115/222923.500:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:24.40 [27692:2764:1115/222924.402:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:25.30 [27692:2764:1115/222925.303:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:26.20 [27692:2764:1115/222926.198:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:27.08 [27692:2764:1115/222927.087:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:28.04 [27692:2764:1115/222928.042:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:28.95 [27692:2764:1115/222928.954:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:29.84 [27692:2764:1115/222929.840:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
